office-id,office-name,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
15660147,AGCR SO,Inland Speed Post Document,48,1250,0,224,73.16,79,1208,139.26,1950
15660148,Ajmeri Gate Extn SO,Inland Speed Post Document,79,3036,0,540,0,0,1894,1701,1835
15660148,Ajmeri Gate Extn SO,Speed Post Parcel Domestic,3,1037,0,188,0,0,0,1225,5500
15660150,Anand Parbat Indl Area SO,Inland Speed Post Document,9,271,0,50,0,75,191,98,240
15660150,Anand Parbat Indl Area SO,Speed Post Parcel Domestic,1,82,0,14,0,0,0,96,330
15660151,Anand Parbat SO,Inland Speed Post Document,4,66,0,12,0,0,0,78,185
15660153,Baroda House SO,48 Speed Post Document,1,61,0,10,0,0,71,0,20
15660153,Baroda House SO,Inland Speed Post Document,122,4435,0,794,0,5,405,4823,2335
15660153,Baroda House SO,Speed Post Parcel Domestic,2,1348,0,242,0,0,0,1590,9375
15660154,Bengali Market SO,Inland Speed Post Document,63,2747,0,488,0,0,30,3207,5165
15660154,Bengali Market SO,International Speed Post Document,1,1095,0,198,0,0,0,1293,35
15660154,Bengali Market SO,Speed Post Parcel Domestic,5,643,0,116,0,0,0,759,4695
15660156,CAT EXTENSION COUNTER,Inland Speed Post Document,55,1951,0,354,0,0,299,2041,5065
15660156,CAT EXTENSION COUNTER,International Tracked Packet Service,1,600,0,108,0,0,0,708,830
15660156,CAT EXTENSION COUNTER,Speed Post Parcel Domestic,2,230,0,42,0,0,0,272,2284
15660157,Civic Centre PO,Inland Speed Post Document,73,1471,0,264,0,0,124,1613,1500
15660158,Connaught Place SO,Gyan Post,8,370,0,66,0,0,0,436,11660
15660158,Connaught Place SO,Indiapost parcel Retail,19,5992,20,1078,212.4,0,0,6869,56149
15660158,Connaught Place SO,Inland Speed Post Document,359,11925,20,2127,0,1541,200,12432,18880
15660158,Connaught Place SO,International Air Parcel,1,750,0,136,0,0,0,886,1475
15660158,Connaught Place SO,International Registered Letter,1,200,0,36,0,0,0,236,40
15660158,Connaught Place SO,International Speed Post Document,3,3895,0,702,0,0,0,4597,195
15660158,Connaught Place SO,International Tracked Packet Service,69,29320,0,5302,0,0,0,34622,33070
15660158,Connaught Place SO,Speed Post Parcel Domestic,30,8051,0,1450,0,0,431,9070.91,60145
15660159,Dada Ghosh Bhawan SO,Inland Speed Post Document,35,1210,0,212,0,5,46,1373,1475
15660159,Dada Ghosh Bhawan SO,Speed Post Parcel Domestic,3,144,0,26,0,0,0,170,1775
15660160,Darya Ganj SO,Gyan Post,125,6195,0,1126,0,0,0,7321,202330
15660160,Darya Ganj SO,Indiapost parcel Retail,20,2310,0,416,0,0,0,2726,16410
15660160,Darya Ganj SO,Inland Speed Post Document,32,1462,0,258,0,5,0,1715,2430
15660160,Darya Ganj SO,Speed Post Parcel Domestic,12,1792,0,324,0,0,0,2116,8483
15660161,Delhi High Court Extension Counter SO,Inland Speed Post Document,98,4172,980,748,0,0,0,4920,25219
15660161,Delhi High Court Extension Counter SO,Speed Post Parcel Domestic,58,6203,580,1114,0,0,0,7317,54460
15660162,Delhi High Court SO,Inland Speed Post Document,305,9033,10,1620,3287.5,120,220,7243.79,19180
15660162,Delhi High Court SO,Speed Post Parcel Domestic,16,1424,0,254,58,0,0,1622,14261
15660163,Desh Bandhu Gupta Road SO,Inland Speed Post Document,34,703,0,128,0,0,0,831,1645
15660164,Election Commission SO,Inland Speed Post Document,114,3639,0,656,2967.11,0,0,1345.45,2910
15660164,Election Commission SO,Speed Post Parcel Domestic,1,143,0,26,169,0,0,0,675
15660165,Gandhi Smarak Nidhi SO,Indiapost parcel Retail,8,3474,5,626,0,0,0,4100,31185
15660165,Gandhi Smarak Nidhi SO,Inland Speed Post Document,5,123,0,22,0,0,23,122,160
15660166,Guru Gobind Singh Marg SO,Inland Speed Post Document,19,445,0,78,0,451,0,94,210
15660168,IARI SO,Gyan Post,23,985,0,178,0,0,0,1163,27295
15660168,IARI SO,Indiapost parcel Retail,3,1109,5,200,0,0,0,1309,10265
15660168,IARI SO,Inland Speed Post Document,95,4444,0,794,1433.88,46,0,3823.75,10360
15660168,IARI SO,Speed Post Parcel Domestic,9,2680,0,480,76.7,0,169,2935,22180
15660170,IPEstate SO,Inland Speed Post Document,191,4976,0,896,0,240,3286,2561,7285
15660170,IPEstate SO,Speed Post Parcel Domestic,1,450,0,82,0,0,532,0,2110
15660169,Inderpuri SO,Inland Speed Post Document,48,1409,0,256,0,0,384,1329,1345
15360004,Indraprastha HO,Gyan Post,179,10865,10,1956,0,0,0,12821,415120
15360004,Indraprastha HO,Indiapost Parcel Contractual,276,11096,0,1998,0,0,0,13094,114650
15360004,Indraprastha HO,Indiapost parcel Retail,28,11488,70,2072,0,0,0,13560,115015
15360004,Indraprastha HO,Inland Speed Post Document,3705,109823,300,19981.01,1067.28,4633,6396,118414.29,276133
15360004,Indraprastha HO,International Air Parcel,6,12655,0,2278,0,0,0,14933,16549
15360004,Indraprastha HO,International Speed Post Document,3,3525,0,634,0,0,0,4159,120
15360004,Indraprastha HO,International Speed Post Merchandise,4,38740,0,6973.99,0,0,0,45713.99,62329
15360004,Indraprastha HO,International Tracked Packet Service,51,25355,0,4584,0,0,0,31506,15720
15360004,Indraprastha HO,Speed Post Parcel Domestic,184,18977,70,3407,0,0,170,22215,221159
15660171,Jama Masjid SO,Indiapost parcel Retail,3,216,0,38,0,0,0,254,870
15660171,Jama Masjid SO,Inland Speed Post Document,25,611,0,112,0,0,201,589,1150
15660173,Karol Bagh SO,Gyan Post,3,280,0,50,0,0,0,330,12405
15660173,Karol Bagh SO,Indiapost Parcel Contractual,26,1154,0,206,0,0,0,1360,17466
