Office ID,Office Name,Product,Cash (Cnt),Cash (Amt),On Postal Service (Cnt),On Postal Service (Amt),Postage Stamp (Cnt),Postage Stamp (Amt),Service Stamp (Cnt),Service Stamp (Amt),Franking Machine (Cnt),Franking Machine (Amt),Contract (Cnt),Contract (Amt),DQR Scan (Cnt),DQR Scan (Amt),Franchise Wallet (Cnt),Franchise Wallet (Amt),SBIPOS-CARD (Cnt),SBIPOS-CARD (Amt),SBIPOS BHARATQR (Cnt),SBIPOS BHARATQR (Amt),SBIEPAY BHARATQR (Cnt),SBIEPAY BHARATQR (Amt),SBIEPAY UPI (Cnt),SBIEPAY UPI (Amt),SBIEPAY Credit Card (Cnt),SBIEPAY Credit Card (Amt),SBIEPAY Debit Card (Cnt),SBIEPAY Debit Card (Amt),SBIEPAY NEFT (Cnt),SBIEPAY NEFT (Amt),RTGS (Cnt),RTGS (Amt),Wallet (Cnt),Wallet (Amt),POSB (Cnt),POSB (Amt),IPPB (Cnt),IPPB (Amt),Other (Cnt),Other (Amt)
,Summary (All Offices),All Products,1911,173417.38,261,0,366,12223.5,817,34729,3059,227060.44,8391,468483.89,2411,185379.85,527,19058,4,267,136,8970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15360004,Indraprastha HO,All Products,200,19336.37,71,0,191,4633,204,6566,21,1067.28,2703,185213,516,51282.5,527,19058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15360005,Sansad Marg HO,All Products,473,33337.009999999995,72,0,7,630.5,115,7569,396,21005.18,4999,256024.89,113,7782,0,0,4,267,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660147,AGCR SO,All Products,0,0,0,0,2,79,39,1208,3,73.16,0,0,4,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660148,Ajmeri Gate Extn SO,All Products,47,2926,0,0,0,0,35,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660150,Anand Parbat Indl Area SO,All Products,0,0,0,0,3,75,4,191,0,0,0,0,3,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660151,Anand Parbat SO,All Products,0,0,2,0,0,0,0,0,0,0,0,0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660153,Baroda House SO,All Products,5,453,1,0,0,5,10,476,0,0,0,0,109,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660154,Bengali Market SO,All Products,24,1740,1,0,0,0,1,30,0,0,0,0,43,3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660156,CAT EXTENSION COUNTER,All Products,17,1337,0,0,0,0,9,299,0,0,0,0,31,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660157,Civic Centre PO,All Products,0,0,0,0,0,0,4,124,0,0,0,0,69,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660158,Connaught Place SO,All Products,94,14572,3,0,39,1541,10,631,1,212.4,0,0,271,19853.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660159,Dada Ghosh Bhawan SO,All Products,23,826,1,0,0,5,2,46,0,0,0,0,12,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660160,Darya Ganj SO,All Products,105,8061,2,0,0,5,0,0,0,0,0,0,82,5812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660161,Delhi High Court Extension Counter SO,All Products,150,11361,0,0,0,0,0,0,0,0,0,0,6,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660162,Delhi High Court SO,All Products,105,4096,0,0,2,120,4,220,96,3345.5,0,0,114,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660163,Desh Bandhu Gupta Road SO,All Products,2,57,0,0,0,0,0,0,0,0,0,0,32,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660164,Election Commission SO,All Products,0,0,0,0,0,0,0,0,58,3136.11,0,0,57,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660165,Gandhi Smarak Nidhi SO,All Products,6,2974,0,0,0,0,1,23,0,0,0,0,6,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660166,Guru Gobind Singh Marg SO,All Products,0,0,0,0,16,451,0,0,0,0,0,0,3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660168,IARI SO,All Products,74,4095,3,0,2,46,1,169,22,1510.5800000000002,0,0,28,5131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660169,Inderpuri SO,All Products,17,627,1,0,0,0,12,384,0,0,0,0,14,480,0,0,0,0,4,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660170,IPEstate SO,All Products,23,549,0,0,7,240,98,3818,0,0,0,0,64,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660171,Jama Masjid SO,All Products,0,0,8,0,0,0,6,201,0,0,0,0,14,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660173,Karol Bagh SO,All Products,14,1064,4,0,38,1478,6,173,0,0,622,23597,148,18475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660174,Krishi Bhawan SO,All Products,0,0,1,0,0,0,0,0,0,0,0,0,10,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660175,Lady Harding Medical College SO,All Products,0,0,0,0,0,0,13,365,0,0,0,0,2,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660177,Minto Road SO,All Products,0,0,1,0,0,0,8,443,0,0,0,0,12,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660178,Multani Dhanda SO,All Products,16,842,0,0,0,0,2,79,0,0,0,0,7,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660179,National Physical Laboratory SO,All Products,0,0,2,0,0,0,4,224,0,0,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660181,NGT EXTENSION COUNTER,All Products,0,0,0,0,0,0,2,142,0,0,0,0,3,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660182,Nirman Bhawan SO,All Products,3,149,0,0,0,5,0,0,1,55.46,0,0,14,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660183,North Avenue SO,All Products,4,222,0,0,0,0,0,0,0,0,0,0,19,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660184,Pahar Ganj SO,All Products,17,614,1,0,0,5,0,0,0,0,0,0,58,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660185,Pandara Road SO,All Products,0,0,0,0,0,0,14,533,0,0,0,0,5,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660186,Parliament House SO,All Products,2,420,2,0,0,0,0,0,0,0,0,0,3,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660187,Patel Nagar East SO,All Products,12,632,0,0,0,0,0,0,0,0,0,0,3,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660188,Patel Nagar SO Central Delhi,All Products,66,30313,7,0,1,48,67,2433,0,0,0,0,84,14618.130000000001,0,0,0,0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660189,Patel Nagar South SO,All Products,0,0,0,0,0,0,0,0,0,0,0,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660190,Patel Nagar West SO,All Products,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660191,Patiala House SO,All Products,42,1331,2,0,23,986,3,75,0,0,0,0,60,2891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660192,Pragati Maidan SO,All Products,0,0,0,0,8,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660193,Rail Bhawan SO,All Products,4,332,0,0,1,32,0,0,110,5903.679999999999,0,0,3,271,0,0,0,0,8,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660194,Rajender Nagar SO,All Products,59,4509,1,0,4,140,0,0,0,0,0,0,19,2384,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660195,Rashtrapati Bhawan SO,All Products,0,0,3,0,0,5,7,300,39,2178,0,0,8,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660196,Rouse Avenue Extension Counter SO,All Products,9,208,0,0,2,100,7,194,0,0,0,0,105,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660197,Sansadiya Soudh SO,All Products,2,46,1,0,0,0,5,152,36,2006,0,0,5,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660198,Sat Nagar SO,All Products,20,772,1,0,0,10,0,0,0,0,0,0,9,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660199,Secretariat North SO,All Products,0,0,0,0,5,594,9,413,817,40712.15,0,0,13,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660200,Shastri Bhawan SO,All Products,23,578,0,0,3,72,44,2025,1,55.46,0,0,3,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660201,South Avenue SO,All Products,6,232,0,0,0,0,12,435,0,0,0,0,19,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660202,SRT NAGAR EXTENSION COUNTER,All Products,0,0,50,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660203,Supreme Court SO,All Products,135,9136,2,0,10,413,18,1432,1387,138223.04,0,0,57,1705,0,0,0,0,120,7850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660204,Swami Ram Tirth Nagar SO,All Products,92,14442,13,0,1,23,0,0,69,7159.9,67,3649,116,10709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660205,Udyog Bhawan SO,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15660206,Union Public Service Commission SO,All Products,20,1228,4,0,1,60,41,1462,2,416.54,0,0,28,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
